,date,%-close,value
4187,2012-08-31,HD-close,46.0049
4188,2012-09-28,HD-close,48.9395
4189,2012-10-31,HD-close,49.7583
4190,2012-11-30,HD-close,52.988
4191,2012-12-31,HD-close,50.3659
4192,2013-01-31,HD-close,54.4945
4193,2013-02-28,HD-close,55.7811
4194,2013-03-28,HD-close,57.1367
4195,2013-04-30,HD-close,60.0599
4196,2013-05-31,HD-close,64.4078
4197,2013-06-28,HD-close,63.7562
4198,2013-07-31,HD-close,65.0401
4199,2013-08-30,HD-close,61.3037
4200,2013-09-30,HD-close,62.7524
4201,2013-10-31,HD-close,64.4402
4202,2013-11-29,HD-close,66.7401
4203,2013-12-31,HD-close,68.4593
4204,2014-01-31,HD-close,63.8948
4205,2014-02-28,HD-close,68.2015
4206,2014-03-31,HD-close,66.1708
4207,2014-04-30,HD-close,66.4886
4208,2014-05-30,HD-close,67.0907
4209,2014-06-30,HD-close,68.0955
4210,2014-07-31,HD-close,68.003
4211,2014-08-29,HD-close,78.643
4212,2014-09-30,HD-close,77.5605
4213,2014-10-31,HD-close,82.4471
4214,2014-11-28,HD-close,84.0365
4215,2014-12-31,HD-close,89.1706
4216,2015-01-30,HD-close,88.7033
4217,2015-02-27,HD-close,97.4785
4218,2015-03-31,HD-close,97.016
4219,2015-04-30,HD-close,91.3544
4220,2015-05-29,HD-close,95.1459
4221,2015-06-30,HD-close,95.4
4222,2015-07-31,HD-close,100.4648
4223,2015-08-31,HD-close,99.9755
4224,2015-09-30,HD-close,99.6602
4225,2015-10-30,HD-close,106.6931
4226,2015-11-30,HD-close,115.5295
4227,2015-12-31,HD-close,114.6238
4228,2016-01-29,HD-close,108.9988
4229,2016-02-29,HD-close,107.5774
4230,2016-03-31,HD-close,116.2762
4231,2016-04-29,HD-close,116.6771
4232,2016-05-31,HD-close,115.7359
4233,2016-06-30,HD-close,111.8553
4234,2016-07-29,HD-close,121.097
4235,2016-08-31,HD-close,118.0924
4236,2016-09-30,HD-close,113.3025
4237,2016-10-31,HD-close,107.4296
4238,2016-11-30,HD-close,114.543
